시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
09,광명시,시도,,가림일로,03,,경기도 광명시 하안동 864-6,37.46748016,126.8648291,03,01,Y,266,01,03,03,녹색+황색+적색,37+3+20,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,성채안로,03,,경기도 광명시 소하동 1400,37.43402025,126.8852956,03,01,Y,267,01,03,03,녹색+황색+적색,117+3+30,02,02,01,Y,00:00,05:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,성채안로,03,,경기도 광명시 소하동 1400,37.43402025,126.8852956,03,01,Y,268,01,03,03,녹색+황색+적색,117+3+30,02,02,01,Y,00:00,05:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,덕안로,03,,경기도 광명시 일직동 545,37.42384627,126.8854227,03,02,Y,270,01,04,05,녹색+황색+녹색/녹색화살표+황색+적색,104+3+10+3+40,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,덕안로,03,,경기도 광명시 일직동 501-2,37.4236583,126.8873667,03,02,Y,271,01,04,05,녹색+황색+적색/녹색화살표+황색+적색,38+3+21+3+15,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,덕안로,03,,경기도 광명시 일직동 501-2,37.4236583,126.8873667,03,02,Y,272,01,04,03,녹색/녹색화살표+황색+적색,16+3+61,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,덕안로,03,,경기도 광명시 일직동 501-2,37.4236583,126.8873667,03,02,Y,273,01,04,05,녹색+황색+녹색/녹색화살표+황색+적색,37+3+17+3+20,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,덕안로,03,,경기도 광명시 일직동 537,37.42116743,126.8873205,03,02,Y,273-1,01,04,05,녹색+황색+녹색/녹색화살표+황색+적색,37+3+17+3+20,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,광명로,03,경기도 광명시 광명로 897-1,경기도 광명시 광명동 158-232,37.47905922,126.8541012,03,02,Y,5,01,04,05,녹색+황색+적색/녹색화살표+황색+적색,121+3+33+3+20,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,광명로,03,,경기도 광명시 광명동 339-17,37.472713,126.851392,03,01,Y,8-1,01,03,03,녹색+황색+적색,107+3+30,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,광명로,03,,경기도 광명시 광명동 535,37.46191984,126.8457519,03,02,Y,13,01,04,05,녹색+황색+녹색/녹색화살표+황색+적색,57+3+10+3+107,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
09,광명시,시도,,광명로,03,,경기도 광명시 노온사동 393-11,37.4413615,126.8465912,03,02,Y,18,01,04,03,녹색/녹색화살표+황색+적색,32+3+115,02,02,01,N,00:00,00:00,N,N,N,,경기도 광명시 도시교통과,02-2680-2585,2022-12-08
